guide,temp,position,flips,states,flip_rate
base,1.0,0,1071,24000,0.044625
base,1.0,1,944,24000,0.03933333333333333
base,1.0,2,793,24000,0.033041666666666664
base,1.0,3,326,24000,0.013583333333333333
base,1.0,4,207,24000,0.008625
base,1.0,5,190,24000,0.007916666666666667
base,1.0,6,149,24000,0.006208333333333333
base,1.0,7,145,24000,0.0060416666666666665
base,1.0,8,117,24000,0.004875
base,1.0,9,173,24000,0.007208333333333333
base,1.0,10,138,24000,0.00575
base,1.0,11,124,24000,0.005166666666666667
base,1.0,12,131,24000,0.005458333333333333
base,1.0,13,116,23999,0.004833534730613776
base,1.0,14,101,23997,0.004208859440763429
base,1.0,15,86,23995,0.0035840800166701396
base,1.0,16,88,23984,0.003669112741827885
base,1.0,17,88,23970,0.003671255736337088
base,1.0,18,87,23949,0.003632719528999123
base,1.0,19,80,23928,0.003343363423604146
base,1.0,20,68,23911,0.0028438793860566264
base,1.0,21,62,23878,0.0025965323728955525
base,1.0,22,72,23827,0.00302178201200319
base,1.0,23,63,23757,0.0026518499810582142
base,1.0,24,61,23682,0.0025757959631787855
base,1.0,25,69,23562,0.0029284441049146934
base,1.0,26,66,23418,0.002818344862925954
base,1.0,27,55,23233,0.0023673223432186976
base,1.0,28,54,22985,0.0023493582771372634
base,1.0,29,52,22724,0.002288329519450801
base,1.0,30,42,22412,0.0018739960735320363
base,1.0,31,48,22001,0.0021817190127721466
base,1.0,32,43,21581,0.0019924933969695567
base,1.0,33,38,21023,0.001807544118346573
base,1.0,34,36,20491,0.001756868869259675
base,1.0,35,50,19901,0.002512436560976835
base,1.0,36,37,19242,0.0019228770398087517
base,1.0,37,37,18458,0.0020045508722505148
base,1.0,38,33,17665,0.0018681007642230398
base,1.0,39,31,16863,0.0018383443040977288
base,1.0,40,30,15973,0.0018781694108808615
base,1.0,41,18,15100,0.0011920529801324503
base,1.0,42,38,14193,0.002677376171352075
base,1.0,43,16,13269,0.001205818072198357
base,1.0,44,29,12333,0.0023514149031054893
base,1.0,45,18,11403,0.0015785319652722968
base,1.0,46,23,10535,0.002183198860939725
base,1.0,47,15,9683,0.0015491066818134876
base,1.0,48,19,8834,0.0021507810731265565
base,1.0,49,14,8043,0.0017406440382941688
base,1.0,50,11,7288,0.0015093304061470911
base,1.0,51,12,6562,0.001828710758914965
base,1.0,52,13,5871,0.0022142735479475386
base,1.0,53,9,5279,0.0017048683462777042
base,1.0,54,7,4680,0.0014957264957264958
base,1.0,55,8,4111,0.0019459985405010946
base,1.0,56,3,3607,0.0008317161075686166
base,1.0,57,5,3167,0.0015787811809283233
base,1.0,58,7,2735,0.002559414990859232
base,1.0,59,4,2378,0.001682085786375105
base,1.0,60,5,2039,0.0024521824423737125
base,1.0,61,0,1737,0.0
base,1.0,62,8,1461,0.0054757015742642025
base,1.0,63,5,1262,0.003961965134706815
base,1.0,64,6,1082,0.005545286506469501
base,1.0,65,4,908,0.004405286343612335
base,1.0,66,1,760,0.0013157894736842105
base,1.0,67,2,639,0.003129890453834116
base,1.0,68,2,540,0.003703703703703704
base,1.0,69,3,465,0.0064516129032258064
base,1.0,70,1,404,0.0024752475247524753
base,1.0,71,2,349,0.0057306590257879654
base,1.0,72,2,307,0.006514657980456026
base,1.0,73,0,267,0.0
base,1.0,74,0,225,0.0
base,1.0,75,2,192,0.010416666666666666
base,1.0,76,0,167,0.0
base,1.0,77,2,139,0.014388489208633094
base,1.0,78,3,120,0.025
base,1.0,79,0,100,0.0
base,1.0,80,0,85,0.0
base,1.0,81,0,79,0.0
base,1.0,82,0,72,0.0
base,1.0,83,2,63,0.031746031746031744
base,1.0,84,2,61,0.03278688524590164
base,1.0,85,1,56,0.017857142857142856
base,1.0,86,0,47,0.0
base,1.0,87,0,42,0.0
base,1.0,88,1,38,0.02631578947368421
base,1.0,89,0,36,0.0
base,1.0,90,0,35,0.0
base,1.0,91,1,34,0.029411764705882353
base,1.0,92,0,29,0.0
base,1.0,93,0,26,0.0
base,1.0,94,0,22,0.0
base,1.0,95,0,22,0.0
base,1.0,96,0,19,0.0
base,1.0,97,0,18,0.0
base,1.0,98,0,16,0.0
base,1.0,99,0,15,0.0
base,1.0,100,0,14,0.0
base,1.0,101,0,14,0.0
base,1.0,102,0,14,0.0
base,1.0,103,0,14,0.0
base,1.0,104,0,14,0.0
base,1.0,105,0,14,0.0
base,1.0,106,0,14,0.0
base,1.0,107,0,14,0.0
base,1.0,108,0,14,0.0
base,1.0,109,0,14,0.0
base,1.0,110,0,14,0.0
base,1.0,111,0,12,0.0
base,1.0,112,0,12,0.0
base,1.0,113,0,10,0.0
base,1.0,114,0,9,0.0
base,1.0,115,0,9,0.0
base,1.0,116,0,9,0.0
base,1.0,117,0,9,0.0
base,1.0,118,0,7,0.0
base,1.0,119,1,7,0.14285714285714285
base,1.0,120,0,7,0.0
base,1.0,121,0,7,0.0
base,1.0,122,0,6,0.0
base,1.0,123,0,6,0.0
base,1.0,124,0,6,0.0
base,1.0,125,0,6,0.0
base,1.0,126,0,6,0.0
base,1.0,127,0,6,0.0
base,1.0,128,0,6,0.0
base,1.0,129,0,6,0.0
base,1.0,130,0,6,0.0
base,1.0,131,0,6,0.0
base,1.0,132,0,4,0.0
base,1.0,133,0,4,0.0
base,1.0,134,0,4,0.0
base,1.0,135,0,4,0.0
base,1.0,136,0,4,0.0
base,1.0,137,0,4,0.0
base,1.0,138,0,4,0.0
base,1.0,139,0,3,0.0
base,1.0,140,0,3,0.0
base,1.0,141,0,3,0.0
base,1.0,142,0,3,0.0
base,1.0,143,0,3,0.0
base,1.0,144,0,2,0.0
base,1.0,145,0,2,0.0
base,1.0,146,0,2,0.0
base,1.0,147,0,2,0.0
base,1.0,148,0,2,0.0
base,1.0,149,0,2,0.0
base,1.0,150,0,2,0.0
base,1.0,151,0,2,0.0
base,1.0,152,0,2,0.0
base,1.0,153,0,2,0.0
base,1.0,154,0,2,0.0
base,1.0,155,0,2,0.0
base,1.0,156,0,1,0.0
base,1.0,157,0,1,0.0
base,1.0,158,0,1,0.0
base,1.0,159,0,1,0.0
base,1.0,160,0,1,0.0
base,1.0,161,0,1,0.0
base,1.0,162,0,1,0.0
base,1.0,163,0,1,0.0
base,1.0,164,0,0,
base,1.0,165,0,0,
base,1.0,166,0,0,
base,1.0,167,0,0,
base,1.0,168,0,0,
base,1.0,169,0,0,
base,1.0,170,0,0,
base,1.0,171,0,0,
base,1.0,172,0,0,
base,1.0,173,0,0,
base,1.0,174,0,0,
base,1.0,175,0,0,
base,1.0,176,0,0,
base,1.0,177,0,0,
base,1.0,178,0,0,
base,1.0,179,0,0,
base,1.0,180,0,0,
base,1.0,181,0,0,
base,1.0,182,0,0,
base,1.0,183,0,0,
base,1.0,184,0,0,
base,1.0,185,0,0,
base,1.0,186,0,0,
base,1.0,187,0,0,
base,1.0,188,0,0,
base,1.0,189,0,0,
base,1.0,190,0,0,
base,1.0,191,0,0,
hidden,1.0,0,2299,28000,0.08210714285714285
hidden,1.0,1,1280,28000,0.045714285714285714
hidden,1.0,2,1193,28000,0.04260714285714286
hidden,1.0,3,464,28000,0.01657142857142857
hidden,1.0,4,216,28000,0.007714285714285714
hidden,1.0,5,270,28000,0.009642857142857142
hidden,1.0,6,218,28000,0.007785714285714286
hidden,1.0,7,211,28000,0.007535714285714285
hidden,1.0,8,168,27998,0.0060004286020430035
hidden,1.0,9,244,27998,0.008714908207729124
hidden,1.0,10,180,27998,0.006429030645046074
hidden,1.0,11,216,27997,0.0077151123334643
hidden,1.0,12,150,27994,0.005358291062370508
hidden,1.0,13,160,27992,0.005715918833952558
hidden,1.0,14,144,27991,0.005144510735593584
hidden,1.0,15,143,27983,0.005110245506200193
hidden,1.0,16,152,27976,0.005433228481555619
hidden,1.0,17,133,27964,0.004756115005006437
hidden,1.0,18,104,27950,0.0037209302325581397
hidden,1.0,19,106,27930,0.003795202291442893
hidden,1.0,20,93,27898,0.0033335722990895404
hidden,1.0,21,115,27854,0.004128670926976377
hidden,1.0,22,104,27802,0.0037407380763973814
hidden,1.0,23,113,27729,0.004075155973890151
hidden,1.0,24,92,27623,0.0033305578684429643
hidden,1.0,25,96,27501,0.003490782153376241
hidden,1.0,26,87,27325,0.003183897529734675
hidden,1.0,27,88,27103,0.0032468730398848835
hidden,1.0,28,88,26833,0.0032795438452651584
hidden,1.0,29,76,26509,0.002866950846882191
hidden,1.0,30,75,26140,0.002869166029074216
hidden,1.0,31,69,25668,0.002688172043010753
hidden,1.0,32,71,25165,0.002821378899264852
hidden,1.0,33,59,24565,0.002401791166293507
hidden,1.0,34,65,23909,0.0027186415157472083
hidden,1.0,35,75,23139,0.003241280954233113
hidden,1.0,36,60,22308,0.0026896180742334587
hidden,1.0,37,66,21418,0.003081520216640209
hidden,1.0,38,58,20480,0.00283203125
hidden,1.0,39,42,19477,0.002156389587718848
