run,variant,n_oracle_calls,n_valid_smiles,n_unique_smiles,smiles_conversion_rate,uniqueness_among_valid,score_mean,top1,top10,top100,guacamol_score,auc_top10,valid_x_unique,quality_pass_rate,internal_diversity,n_scaffolds,scaffold_diversity,top_scaffold_frac,novelty_vs_ref,nn_similarity_to_ref,calls_to_0.7,calls_to_0.8,calls_to_0.9,yield_0.5,yield_0.7,yield_0.8,yield_0.9,mw_mean,logp_mean,qed_mean,sa_mean,rings_mean,arom_rings_mean,rotb_mean,tpsa_mean,heavy_mean
rtb-atom-lora16-osim-b10,budgeted,10000,9366,9354,0.9366,0.9987187700192185,0.24578428218012513,0.8152467149676166,0.8028549425468141,0.7729123207915398,0.7970046594353235,0.7808193359543895,0.9300433839479393,0.86,0.8450363477060501,99,0.99,0.02,0.95,0.4099124384842078,1,3063,,0.2872448979591837,0.07755102040816327,0.0008017492711370263,0.0,408.8457400000002,0.873775,0.48002967904169497,3.047384344088119,3.39,2.84,6.21,126.56079999999999,28.89
rtb-atom-lora16-osim-b10,unbounded,14752,13837,13720,0.9379745119305857,0.9915444099154441,0.2939849250287352,0.8152467149676166,0.8074494122625454,0.7827056532598465,0.8018005934966695,,0.9300433839479393,0.86,0.8450363477060501,99,0.99,0.02,0.95,0.4099124384842078,1,3063,,0.2872448979591837,0.07755102040816327,0.0008017492711370263,0.0,408.8457400000002,0.873775,0.48002967904169497,3.047384344088119,3.39,2.84,6.21,126.56079999999999,28.89
rtb-atom-lora4-osim-b10,budgeted,9664,9135,8795,0.945260761589404,0.9627805145046524,0.3802292047222461,0.8081928111707762,0.8020540954876829,0.7812213375242585,0.7971560813942391,0.7814490322585539,0.910078642384106,0.79,0.837180025260186,98,0.98,0.02,0.95,0.39266830127803337,43,3121,,0.42069357589539513,0.1412166003411029,0.0006822057987492893,0.0,406.6971100000001,0.6354019000000003,0.4618731613456658,3.156779376072387,3.39,2.88,5.95,132.75359999999998,28.18
rtb-atom-lora4-osim-b10,unbounded,9664,9135,8795,0.945260761589404,0.9627805145046524,0.3802292047222461,0.8081928111707762,0.8020540954876829,0.7812213375242585,0.7971560813942391,,0.910078642384106,0.79,0.837180025260186,98,0.98,0.02,0.95,0.39266830127803337,43,3121,,0.42069357589539513,0.1412166003411029,0.0006822057987492893,0.0,406.6971100000001,0.6354019000000003,0.4618731613456658,3.156779376072387,3.39,2.88,5.95,132.75359999999998,28.18
rtb-atom-lora64-osim-b10,budgeted,10000,9398,9245,0.9398,0.9837199404128538,0.32669275768561584,0.817999740687494,0.80439574856101,0.7825679515270384,0.801654480258514,0.7896988133361565,0.9200339879154079,0.89,0.8269034283823562,96,0.96,0.03,0.92,0.43347449788321624,14,917,,0.360287326834274,0.11441765007696254,0.0009235505387378142,0.0,415.9945400000002,0.8466635000000001,0.49188948849341907,2.6832205185721647,3.49,2.88,6.0,129.10289999999998,28.98
rtb-atom-lora64-osim-b10,unbounded,10592,9943,9745,0.9387273413897281,0.9800864930101579,0.33727992319965117,0.817999740687494,0.8068121152298573,0.7840981302763023,0.8029699953978846,,0.9200339879154079,0.89,0.8269034283823562,96,0.96,0.03,0.92,0.43347449788321624,14,917,,0.360287326834274,0.11441765007696254,0.0009235505387378142,0.0,415.9945400000002,0.8466635000000001,0.49188948849341907,2.6832205185721647,3.49,2.88,6.0,129.10289999999998,28.98
rtb-atom-osim-b10,budgeted,10000,9410,9392,0.941,0.9980871413390011,0.2329333678144424,0.8111768936703765,0.7964131382420894,0.7699791267761165,0.7925230528961942,0.776667522297828,0.938463140358184,0.84,0.8452225874396566,97,0.97,0.02,0.95,0.4217234510647935,53,1703,,0.21984910684566736,0.05913680239653833,0.0003883279707089759,0.0,421.7418000000001,0.8887673000000003,0.49015101835915437,3.103653231112185,3.31,2.65,6.79,121.04270000000002,29.71
rtb-atom-osim-b10,unbounded,19208,18108,18026,0.9427321949187838,0.995471614755909,0.2472137781369769,0.811504091059703,0.8043481178314783,0.7821173484326616,0.7993231857746143,,0.938463140358184,0.84,0.8452225874396566,97,0.97,0.02,0.95,0.4217234510647935,53,1703,,0.21984910684566736,0.05913680239653833,0.0003883279707089759,0.0,421.7418000000001,0.8887673000000003,0.49015101835915437,3.103653231112185,3.31,2.65,6.79,121.04270000000002,29.71
rtb-full-osim-b10,budgeted,10000,9461,9434,0.9461,0.9971461790508402,0.24503147089566896,0.8200455274512118,0.7976601470390565,0.7700034449319072,0.795903039807392,0.7779382144266093,0.9426880674448768,0.77,0.8730723904428196,98,0.98,0.02,0.91,0.39513088125380535,11,5531,,0.2281365551638146,0.05752859231232264,0.0002579757502794737,0.0,410.10903000000013,0.6818222000000002,0.4948741946366455,3.5510065032916147,3.22,2.64,6.44,121.2835,28.98
rtb-full-osim-b10,unbounded,12336,11666,11629,0.9456874189364461,0.9968283901937254,0.25067612604884143,0.8200455274512118,0.7976601470390565,0.7736075405896679,0.7971044050266455,,0.9426880674448768,0.77,0.8730723904428196,98,0.98,0.02,0.91,0.39513088125380535,11,5531,,0.2281365551638146,0.05752859231232264,0.0002579757502794737,0.0,410.10903000000013,0.6818222000000002,0.4948741946366455,3.5510065032916147,3.22,2.64,6.44,121.2835,28.98
