name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-peri-base-db-replay_on-b1,sweep,peri,base,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.004922850048252605,0.00161564902464678,0.001464084232280841,0.00015958527027984775,16.292113020945834,0.0,0.005686805847105072,0.7158951671491928,92223,192,99,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_on-b1/checkpoints/epoch=4-step=496.ckpt
sweep-peri-base-db-replay_off-b10,sweep,peri,base,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.01508216729872281,0.001460267643084434,0.0013114114906604712,9.144125939407861e-05,16.236620670608726,0.0,0.005150676506765067,0.7164901268471295,91764,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_off-b10/checkpoints/epoch=4-step=494.ckpt
sweep-peri-base-db-replay_on-b10,sweep,peri,base,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.0059633175386003935,0.0018051123360087677,0.0014900548318292081,0.00014387985468690935,16.277041970747828,0.0,0.006339622641509434,0.7152650184271885,93069,192,84,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-base-db-replay_on-b10/checkpoints/epoch=4-step=495.ckpt
sweep-peri-hidden-db-replay_off-b1,sweep,peri,hidden,HiddenGuide,db,off,1,0.3,ema,2000,1.0,0.004346078207677347,0.0009995979877657898,0.0011081609575257615,0.0002153754817242671,16.16370521921214,0.0,0.003474976392823418,0.7123439486293556,92037,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_off-b1/checkpoints/epoch=3-step=399.ckpt
sweep-peri-hidden-db-replay_on-b1,sweep,peri,hidden,HiddenGuide,db,on,1,0.3,ema,2000,1.0,0.008652617443850036,0.0015161031816508198,0.0014664959685723837,0.0007112277420610778,16.263823384587592,0.0,0.005324408610329353,0.7152541638690953,92342,192,123,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_on-b1/checkpoints/epoch=4-step=436.ckpt
sweep-peri-hidden-db-replay_off-b10,sweep,peri,hidden,HiddenGuide,db,off,10,0.3,ema,2000,1.0,0.02128417778929636,0.0033151915683987732,0.002912220870594599,0.0004922360557743403,16.204099915392284,0.0,0.011589716486088565,0.7139540408621657,92604,192,135,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_off-b10/checkpoints/epoch=3-step=354.ckpt
sweep-peri-hidden-db-replay_on-b10,sweep,peri,hidden,HiddenGuide,db,on,10,0.3,ema,2000,1.0,0.014997466279959891,0.0026631014889648406,0.0026750478298695887,0.0011718824914553926,16.24015589335877,0.0,0.00938770856295846,0.7163203915945185,92749,192,130,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-hidden-db-replay_on-b10/checkpoints/epoch=4-step=437.ckpt
sweep-peri-tempgain-db-replay_off-b1,sweep,peri,tempgain,TempGainGuide,db,off,1,0.3,ema,2000,1.0,0.005032319639061212,0.001279770942692291,0.0011643147932208632,7.686569715765022e-05,16.320551428870985,0.0,0.0045076018030407216,0.7160860700186543,92204,192,113,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_off-b1/checkpoints/epoch=4-step=489.ckpt
sweep-peri-tempgain-db-replay_on-b1,sweep,peri,tempgain,TempGainGuide,db,on,1,0.3,ema,2000,1.0,0.008870844852733092,0.0014149813875525175,0.0013118674427528188,9.013774562028385e-05,16.23441678026482,0.0,0.004958236393455128,0.7146200230750811,91874,192,138,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_on-b1/checkpoints/epoch=4-step=488.ckpt
sweep-peri-tempgain-db-replay_off-b10,sweep,peri,tempgain,TempGainGuide,db,off,10,0.3,ema,2000,1.0,0.020723199584019414,0.0027082069503423173,0.0024688653889181596,0.0002992962880281,16.307652633078995,0.0,0.00959140610013428,0.71764234335731,92312,192,93,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_off-b10/checkpoints/epoch=4-step=486.ckpt
sweep-peri-tempgain-db-replay_on-b10,sweep,peri,tempgain,TempGainGuide,db,on,10,0.3,ema,2000,1.0,0.013162900403256487,0.0019565004728209477,0.0016657026240674245,0.00013417458877776475,16.240827891610525,0.0,0.0068799449604403165,0.7156226562754753,92001,192,101,/workspace/quetzal/logs/quetzal-gfn/legit/sweep-peri-tempgain-db-replay_on-b10/checkpoints/epoch=4-step=454.ckpt
