name,family,reward,guide,guide_type,objective,replay,beta,temp,guide_source,n_traj,delivered_frac,argmax_flip_rate,sample_flip_rate,mean_total_variation,mean_KL,mean_prior_top1_gap,flip_rate_high_gap,flip_rate_low_gap,frac_states_high_gap,n_states,n_positions_reported,deepest_position_reached,ckpt
sweep-fexo-base-db-replay_on-b10,sweep,fexo,base,TempGainGuide,db,on,10,1.0,ema,400,1.0,0.022758506953988237,0.012313781540322137,0.011317748265923841,0.007676962970869226,16.354165914813482,0.00015362162992549352,0.042923433874709975,0.715683579792205,18191,,,logs/quetzal-gfn/sweep-fexo-base-db-replay_on-b10/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_off-b1,sweep,fexo,hidden,HiddenGuide,db,off,1,0.3,ema,400,1.0,0.027846027846027847,0.0171990171990172,0.01614653405584463,0.08621436210703433,16.217033730808126,0.0015287013681877246,0.05638379204892966,0.7143325143325143,18315,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_off-b1/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_on-b1,sweep,fexo,hidden,HiddenGuide,db,on,1,0.3,ema,400,1.0,0.01283987915407855,0.011976694000863186,0.012334937475081706,0.09192569844131732,16.28146281163138,0.001212029391712749,0.03861293345829428,0.7121817004747518,18536,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_on-b1/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_off-b1,sweep,fexo,hidden,HiddenGuide,db,off,1,1.0,ema,400,1.0,0.024436615780350054,0.016384275568976123,0.014740643065182411,0.043019677205540466,16.09087466665651,0.0020656232620958133,0.05041540785498489,0.7038528211150255,17883,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_off-b1/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_on-b1,sweep,fexo,hidden,HiddenGuide,db,on,1,1.0,ema,400,1.0,0.013218265239239677,0.014365304784793533,0.011146193054848753,0.03679736150860124,16.564386092342872,0.002277731379545972,0.04535721238076698,0.7194122787852305,18308,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_on-b1/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_off-b10,sweep,fexo,hidden,HiddenGuide,db,off,10,0.3,ema,400,1.0,0.020222886653982062,0.013373199238923621,0.013358745592055701,0.0743451760189036,16.18492764164229,0.0010633449794926325,0.044367947982405814,0.7157379722750747,18395,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_off-b10/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_on-b10,sweep,fexo,hidden,HiddenGuide,db,on,10,0.3,ema,400,1.0,0.0277808645405045,0.016390710078897655,0.01601237115112015,0.06769917278521918,16.14118158241049,0.00117096018735363,0.05397070161912105,0.7117457495277253,17998,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_on-b10/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_off-b10,sweep,fexo,hidden,HiddenGuide,db,off,10,1.0,ema,400,1.0,0.019279082468596394,0.013107591480065538,0.010972441210192821,0.04812808175050238,16.344768106240775,0.0022865853658536584,0.04046242774566474,0.7165483342435828,18310,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_off-b10/checkpoints/last.ckpt
sweep-fexo-hidden-db-replay_on-b10,sweep,fexo,hidden,HiddenGuide,db,on,10,1.0,ema,400,1.0,0.02456488213262833,0.013494161709627672,0.011277024362645686,0.014280503921060384,16.29727322237427,0.001076591817902184,0.04483695652173913,0.7162370566204009,18156,,,logs/quetzal-gfn/sweep-fexo-hidden-db-replay_on-b10/checkpoints/last.ckpt
sweep-fexo-tempgain-db-replay_off-b1,sweep,fexo,tempgain,TempGainGuide,db,off,1,0.3,ema,400,1.0,0.0028323982787733537,0.004194128220491312,0.004212137248201256,0.0029117932043228175,16.41783289055113,0.0,0.014773599386032234,0.71610654175064,18359,,,logs/quetzal-gfn/sweep-fexo-tempgain-db-replay_off-b1/checkpoints/last.ckpt
