name,seed,family,reward,guide,objective,replay,beta,base_atom_stability,base_log_reward_mean,base_log_reward_top1,base_log_reward_top10,base_log_reward_top100,base_mol_stability,base_n_valid_smiles,base_parse_rate,base_reused_from,base_reward_mean,base_reward_top1,base_reward_top10,base_reward_top100,base_uniqueness,fcd_base_vs_ref,fcd_guided_vs_base,fcd_guided_vs_ref,guided_atom_stability,guided_log_reward_mean,guided_log_reward_top1,guided_log_reward_top10,guided_log_reward_top100,guided_mol_stability,guided_n_valid_smiles,guided_parse_rate,guided_reward_mean,guided_reward_top1,guided_reward_top10,guided_reward_top100,guided_uniqueness,mean_delta,n_components,reward_mean_delta,reward_top100_delta,reward_top10_delta,reward_top1_delta,top100_delta,top10_delta,top1_delta,wass_MW_base_vs_ref,wass_MW_guided_vs_ref,wass_TPSA_base_vs_ref,wass_TPSA_guided_vs_ref,wass_logP_base_vs_ref,wass_logP_guided_vs_ref,wass_n_heavy_base_vs_ref,wass_n_heavy_guided_vs_ref,wass_n_rings_base_vs_ref,wass_n_rings_guided_vs_ref
base_quetzal-peri,100,base_prior,peri,base_prior,none,off,0,0.8524100641490594,-2.585895293954861,-0.7393338680267334,-0.7876028180122375,-0.9091819930076599,0.0244,4673,0.9346,,0.14573743910184178,0.4774318422338715,0.45506998839367824,0.4035239086582215,0.99700406591055,,,,0.8524100641490594,-2.585895293954861,-0.7393338680267334,-0.7876028180122375,-0.9091819930076599,0.0244,4673,0.9346,0.14573743910184178,0.4774318422338715,0.45506998839367824,0.4035239086582215,0.99700406591055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-peri,42,base_prior,peri,base_prior,none,off,0,0.8526116757267785,-2.5471354286779055,-0.7408022880554199,-0.8178182661533355,-0.920893207192421,0.0232,4620,0.924,,0.14687484605853068,0.47673128623551375,0.44166151673295795,0.3986145147669249,0.9987012987012988,,,,0.8526116757267785,-2.5471354286779055,-0.7408022880554199,-0.8178182661533355,-0.920893207192421,0.0232,4620,0.924,0.14687484605853068,0.47673128623551375,0.44166151673295795,0.3986145147669249,0.9987012987012988,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-stability,0,base_prior,stability,base_prior,none,off,0,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,0.9282,,0.8567682202885045,1.0,1.0,1.0,0.9976298211592329,,,,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,0.9282,0.8567682202885045,1.0,1.0,1.0,0.9976298211592329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-stability,100,base_prior,stability,base_prior,none,off,0,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,0.9346,,0.8552184778441873,1.0,1.0,1.0,0.99700406591055,,,,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,0.9346,0.8552184778441873,1.0,1.0,1.0,0.99700406591055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
base_quetzal-stability,42,base_prior,stability,base_prior,none,off,0,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,0.924,,0.855625429209774,1.0,1.0,1.0,0.9987012987012988,,,,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,0.924,0.855625429209774,1.0,1.0,1.0,0.9987012987012988,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
stability-geom-base-db-b1,0,stability,atom_stability,base,db,off,1,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,,dumps/_base/stability/seed0,,,,,0.9976298211592329,4.427940043898772,0.08391081382399079,4.8079189330641015,0.8540149826350686,-0.16080592526452617,0.0,0.0,0.0,0.0264,4661,0.9322,0.8550928389136411,1.0,1.0,1.0,0.9967818064792963,-0.0024217547320106447,,,,,,0.0,0.0,0.0,17.336867902219353,18.645716753100206,4.483138573152338,4.691247863977687,0.3454792781913382,0.36747477122977923,1.35384421460892,1.465872087534863,0.202071924154277,0.22452087534863774
stability-geom-base-db-b1,100,stability,atom_stability,base,db,off,1,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,,dumps/_base/stability/seed100,,,,,0.99700406591055,4.144421280014981,0.0873611918973154,4.4927297323392565,0.8521036386102007,-0.1647480591824415,0.0,0.0,0.0,0.0224,4693,0.9386,0.8525709757616837,1.0,1.0,1.0,0.9957383336884722,-0.004278540814683179,,,,,,0.0,0.0,0.0,14.531700820158363,16.470479628595793,3.5680180530708334,3.632463125079906,0.35281490813909705,0.36985912105391017,1.193341536486197,1.3769036011080331,0.1916588487053284,0.2226622203281483
stability-geom-base-db-b1,42,stability,atom_stability,base,db,off,1,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,,dumps/_base/stability/seed42,,,,,0.9987012987012988,4.306199151562396,0.08528564110456216,4.735523172351478,0.8517882621516218,-0.16366097071978442,0.0,0.0,0.0,0.022,4641,0.9282,0.8533713320943419,1.0,1.0,1.0,0.9971988795518207,-0.003792265860359051,,,,,,0.0,0.0,0.0,14.988010878787884,17.097537522818364,4.436697826839828,4.8188497621202355,0.3399854235757577,0.363350687964232,1.2410277056277048,1.4208771816418868,0.223909090909091,0.2564324499030381
stability-geom-base-db-b10,0,stability,atom_stability,base,db,off,10,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,,dumps/_base/stability/seed0,,,,,0.9976298211592329,4.427940043898772,0.10850909182528312,4.9306066559895925,0.8540184288313964,-0.16206170409041387,0.0,0.0,0.0,0.028,4667,0.9334,0.8541872855243674,1.0,1.0,1.0,0.9955003214056138,-0.0036775335578983492,,,,,,0.0,0.0,0.0,17.336867902219353,19.92876363398329,4.483138573152338,5.19133295264624,0.3454792781913382,0.3695783804461111,1.35384421460892,1.5923154488965068,0.202071924154277,0.22699691450610668
stability-geom-base-db-b10,100,stability,atom_stability,base,db,off,10,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,,dumps/_base/stability/seed100,,,,,0.99700406591055,4.144421280014981,0.11044063803171866,4.618674349061806,0.8518811330880098,-0.16547526019628533,0.0,0.0,0.0,0.0226,4704,0.9408,0.8520641543881932,1.0,1.0,1.0,0.9955357142857143,-0.005005741828527005,,,,,,0.0,0.0,0.0,14.531700820158363,17.40963590714287,3.5680180530708334,3.9718255170068035,0.35281490813909705,0.3635483888401362,1.193341536486197,1.4465731292517,0.1916588487053284,0.21597925170068044
stability-geom-base-db-b10,42,stability,atom_stability,base,db,off,10,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,,dumps/_base/stability/seed42,,,,,0.9987012987012988,4.306199151562396,0.1268726216058269,4.972514371031565,0.851111004693037,-0.16577572589752204,0.0,0.0,0.0,0.0226,4638,0.9276,0.8518914664839786,1.0,1.0,1.0,0.9959034066407935,-0.005907021038096677,,,,,,0.0,0.0,0.0,14.988010878787884,17.631331782406217,4.436697826839828,5.236208035360077,0.3399854235757577,0.36089348149805967,1.2410277056277048,1.4779283311772313,0.223909090909091,0.2421634325140146
stability-geom-hidden-db-b1,0,stability,atom_stability,hidden,db,off,1,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,,dumps/_base/stability/seed0,,,,,0.9976298211592329,4.427940043898772,0.3496827191953571,5.7710546906183,0.8520052804240101,-0.18293711065113938,0.0,0.0,0.0,0.0238,4699,0.9398,0.845022525344289,1.0,1.0,1.0,0.9810597999574378,-0.024552940118623856,,,,,,0.0,0.0,0.0,17.336867902219353,26.442217848861475,4.483138573152338,5.527664605660783,0.3454792781913382,0.4530450607086615,1.35384421460892,2.046250223451798,0.202071924154277,0.30023251755692704
stability-geom-hidden-db-b1,100,stability,atom_stability,hidden,db,off,1,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,,dumps/_base/stability/seed100,,,,,0.99700406591055,4.144421280014981,0.3253421833530723,5.351512923634459,0.8507467078643419,-0.18254301842294998,0.0,0.0,-0.0009950748458504677,0.019,4731,0.9462,0.8442700040720273,1.0,1.0,0.9990147713455922,0.9828788839568802,-0.022073500055191653,,,,,,-0.0009950748458504677,0.0,0.0,14.531700820158363,23.128782978101896,3.5680180530708334,4.4492979856267185,0.35281490813909705,0.4307707587440289,1.193341536486197,1.8869283026844217,0.1916588487053284,0.2824522933840625
stability-geom-hidden-db-b1,42,stability,atom_stability,hidden,db,off,1,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,,dumps/_base/stability/seed42,,,,,0.9987012987012988,4.306199151562396,0.3648118722097138,5.776456635424125,0.8495128059637246,-0.17998858243401977,0.0,0.0,-0.001291352268308401,0.0186,4684,0.9368,0.8431516010649068,1.0,1.0,0.9987205510028524,0.982066609735269,-0.020119877574594408,,,,,,-0.001291352268308401,0.0,0.0,14.988010878787884,24.184093787702825,4.436697826839828,5.366600401366355,0.3399854235757577,0.4381870412040992,1.2410277056277048,1.9455421007685731,0.223909090909091,0.30985738684884734
stability-geom-hidden-db-b10,0,stability,atom_stability,hidden,db,off,10,0.8544708614082822,-0.15838417053251552,0.0,0.0,0.0,0.027,4641,,dumps/_base/stability/seed0,,,,,0.9976298211592329,4.427940043898772,0.42677314609542805,5.934469075859624,0.8513250330388815,-0.18765485988422884,0.0,0.0,0.0,0.0238,4688,0.9376,0.8427350231462238,1.0,1.0,1.0,0.9756825938566553,-0.029270689351713314,,,,,,0.0,0.0,0.0,17.336867902219353,29.523791676450525,4.483138573152338,5.493565645051191,0.3454792781913382,0.4727225202593858,1.35384421460892,2.256219112627986,0.202071924154277,0.32408361774744043
stability-geom-hidden-db-b10,100,stability,atom_stability,hidden,db,off,10,0.8524100641490594,-0.16046951836775833,0.0,0.0,0.0,0.0244,4673,,dumps/_base/stability/seed100,,,,,0.99700406591055,4.144421280014981,0.4004730632944984,5.55208826723117,0.8505307374119341,-0.19019824441291058,0.0,0.0,-0.00018692132085561751,0.0198,4719,0.9438,0.8411333141417089,1.0,1.0,0.999814814823909,0.9752066115702479,-0.029728726045152254,,,,,,-0.00018692132085561751,0.0,0.0,14.531700820158363,26.12861995367664,3.5680180530708334,4.45547970205552,0.35281490813909705,0.4645546818016531,1.193341536486197,2.076159059122695,0.1916588487053284,0.30213541004450106
stability-geom-hidden-db-b10,42,stability,atom_stability,hidden,db,off,10,0.8526116757267785,-0.15986870485942536,0.0,0.0,0.0,0.0232,4620,,dumps/_base/stability/seed42,,,,,0.9987012987012988,4.306199151562396,0.428573629615542,5.904451525287371,0.84976759791973,-0.19217663050035452,0.0,0.0,-0.0017927318811416626,0.0182,4679,0.9358,0.8404564555604697,1.0,1.0,0.9982251067223151,0.9749946569779867,-0.03230792564092916,,,,,,-0.0017927318811416626,0.0,0.0,14.988010878787884,27.195646150587745,4.436697826839828,5.740163549903836,0.3399854235757577,0.46472020749946585,1.2410277056277048,2.1569747809360966,0.223909090909091,0.3361359692241934
sweep-fexo-base-db-replay_off-b1,0,sweep,fexo,base,db,off,1,0.8527226203627642,-2.4891674163301847,-0.31455349922180176,-0.347792261838913,-0.41548499137163164,0.0292,4627,0.9254,,0.26411163956276423,0.7301147983265962,0.7063800138231993,0.6603150317154095,0.9956775448454722,4.291125002866451,0.7056220498134991,4.742432472655906,0.8543034351145038,-2.586736977534883,-0.29970118403434753,-0.33890398442745207,-0.4107602772116661,0.0256,4664,0.9328,0.25793486477277106,0.7410396220711913,0.7126712716501876,0.6635027543482637,0.9963550600343053,-0.09756956120469829,,-0.006176774789993178,0.003187722632854162,0.006291257826988361,0.010924823744595136,0.0047247141599655595,0.008888277411460921,0.014852315187454224,14.230915819364604,17.85218288370498,3.654967398746489,4.277748816466554,0.3708892894821701,0.3657786088336194,1.1803732440025934,1.3820463121783875,0.2191254376485844,0.20249639794168092
