run,variant,n_oracle_calls,n_valid_smiles,n_unique_smiles,smiles_conversion_rate,uniqueness_among_valid,score_mean,top1,top10,top100,guacamol_score,auc_top10,valid_x_unique,quality_pass_rate,internal_diversity,n_scaffolds,scaffold_diversity,top_scaffold_frac,novelty_vs_ref,nn_similarity_to_ref,calls_to_0.7,calls_to_0.8,calls_to_0.9,yield_0.5,yield_0.7,yield_0.8,yield_0.9,mw_mean,logp_mean,qed_mean,sa_mean,rings_mean,arom_rings_mean,rotb_mean,tpsa_mean,heavy_mean
rtb-atom-lora16-peri-b10,budgeted,9600,8969,8954,0.9342708333333334,0.9983275727505854,0.15782640746533025,0.4763305116224668,0.46332751719294274,0.42173677635830686,0.45379826839123877,0.4422829327291663,0.9327083333333334,0.91,0.8186679624076586,97,0.97,0.03,0.92,0.4445340216272154,,,,0.0,0.0,0.0,0.0,397.4099400000001,3.1266650000000014,0.6652509223212215,2.7084892704290406,3.09,2.0,6.52,84.12550000000002,28.14
rtb-atom-lora16-peri-b10,unbounded,9600,8969,8954,0.9342708333333334,0.9983275727505854,0.15782640746533025,0.4763305116224668,0.46332751719294274,0.42173677635830686,0.45379826839123877,,0.9327083333333334,0.91,0.8186679624076586,97,0.97,0.03,0.92,0.4445340216272154,,,,0.0,0.0,0.0,0.0,397.4099400000001,3.1266650000000014,0.6652509223212215,2.7084892704290406,3.09,2.0,6.52,84.12550000000002,28.14
rtb-atom-lora4-peri-b10,budgeted,9600,9002,8988,0.9377083333333334,0.9984447900466563,0.15659730944465342,0.48454371185234896,0.460432617415643,0.4221105793292499,0.45569563619908066,0.44315817001382535,0.93625,0.93,0.8215306225192344,100,1.0,0.01,0.91,0.4258483205660816,,,,0.0,0.0,0.0,0.0,397.75288000000023,3.2772043000000015,0.6698675497310148,2.6625031507499624,3.05,2.0,6.35,83.14970000000001,27.94
rtb-atom-lora4-peri-b10,unbounded,9600,9002,8988,0.9377083333333334,0.9984447900466563,0.15659730944465342,0.48454371185234896,0.460432617415643,0.4221105793292499,0.45569563619908066,,0.93625,0.93,0.8215306225192344,100,1.0,0.01,0.91,0.4258483205660816,,,,0.0,0.0,0.0,0.0,397.75288000000023,3.2772043000000015,0.6698675497310148,2.6625031507499624,3.05,2.0,6.35,83.14970000000001,27.94
rtb-atom-lora64-peri-b10,budgeted,9600,8912,8893,0.9283333333333333,0.9978680430879713,0.1601149670602769,0.4979959839195493,0.47201529493732314,0.42421864874599235,0.46474330920095497,0.441482909687709,0.9263541666666667,0.94,0.8162286592680179,99,0.99,0.02,0.9,0.443902649188918,,,,0.0,0.0,0.0,0.0,394.0216000000002,3.2276718000000026,0.6741491614365615,2.6983976388613393,3.09,2.0,6.53,81.5746,28.1
rtb-atom-lora64-peri-b10,unbounded,9600,8912,8893,0.9283333333333333,0.9978680430879713,0.1601149670602769,0.4979959839195493,0.47201529493732314,0.42421864874599235,0.46474330920095497,,0.9263541666666667,0.94,0.8162286592680179,99,0.99,0.02,0.9,0.443902649188918,,,,0.0,0.0,0.0,0.0,394.0216000000002,3.2276718000000026,0.6741491614365615,2.6983976388613393,3.09,2.0,6.53,81.5746,28.1
rtb-atom-peri-b10,budgeted,9600,9049,9030,0.9426041666666667,0.9979003204774008,0.1606463575767032,0.4936572484949417,0.4677950793349942,0.42466792319005386,0.4620400836733299,0.4428829691209429,0.940625,0.84,0.8133265134072172,96,0.96,0.02,0.86,0.4631133911883755,,,,0.0,0.0,0.0,0.0,387.01368000000025,2.9359822000000015,0.6842630130609005,2.5050827123739605,3.02,2.0,6.57,86.56010000000002,27.56
rtb-atom-peri-b10,unbounded,9600,9049,9030,0.9426041666666667,0.9979003204774008,0.1606463575767032,0.4936572484949417,0.4677950793349942,0.42466792319005386,0.4620400836733299,,0.940625,0.84,0.8133265134072172,96,0.96,0.02,0.86,0.4631133911883755,,,,0.0,0.0,0.0,0.0,387.01368000000025,2.9359822000000015,0.6842630130609005,2.5050827123739605,3.02,2.0,6.57,86.56010000000002,27.56
rtb-full-peri-b10,budgeted,4800,4512,4504,0.94,0.99822695035461,0.15910395337019476,0.4745789978762495,0.4492117996373518,0.4085341573868518,0.444108318300151,0.42792162073883533,0.9383333333333334,0.89,0.8251591624776098,100,1.0,0.01,0.92,0.45929791035946593,,,,0.0,0.0,0.0,0.0,375.8344400000001,3.086642300000002,0.7169417576305988,2.596150678723303,3.06,2.0,6.1,77.15090000000001,26.72
rtb-full-peri-b10,unbounded,4800,4512,4504,0.94,0.99822695035461,0.15910395337019476,0.4745789978762495,0.4492117996373518,0.4085341573868518,0.444108318300151,,0.9383333333333334,0.89,0.8251591624776098,100,1.0,0.01,0.92,0.45929791035946593,,,,0.0,0.0,0.0,0.0,375.8344400000001,3.086642300000002,0.7169417576305988,2.596150678723303,3.06,2.0,6.1,77.15090000000001,26.72
